date,vwap,prev_vwap
2025-01-01,1988.56,
2025-01-02,1990.07,1988.56
2025-01-03,1992.98,1990.07
2025-01-06,1946.67,1992.98
2025-01-07,1956.07,1946.67
2025-01-08,1950.02,1956.07
2025-01-09,1951.42,1950.02
2025-01-10,1920.34,1951.42
2025-01-13,1864.96,1920.34
2025-01-14,1864.91,1864.96
2025-01-15,1900.52,1864.91
2025-01-16,1916.41,1900.52
2025-01-17,1886.91,1916.41
2025-01-20,1865.93,1886.91
2025-01-21,1869.83,1865.93
2025-01-22,1828.8,1869.83
2025-01-23,1802.1,1828.8
2025-01-24,1803.52,1802.1
2025-01-27,1752.03,1803.52
2025-01-28,1724.5,1752.03
2025-01-29,1811.71,1724.5
2025-01-30,1829.64,1811.71
2025-01-31,1832.09,1829.64
2025-02-01,1820.19,1832.09
2025-02-03,1860.04,1820.19
2025-02-04,1845.91,1860.04
2025-02-05,1797.39,1845.91
2025-02-06,1788.89,1797.39
2025-02-07,1787.53,1788.89
2025-02-10,1784.36,1787.53
2025-02-11,1750.16,1784.36
2025-02-12,1705.45,1750.16
2025-02-13,1697.63,1705.45
2025-02-14,1672.82,1697.63
2025-02-17,1664.78,1672.82
2025-02-18,1649.29,1664.78
2025-02-19,1656.22,1649.29
2025-02-20,1651.73,1656.22
2025-02-21,1659.88,1651.73
2025-02-24,1623.34,1659.88
2025-02-25,1630.7,1623.34
2025-02-27,1594.37,1630.7
2025-02-28,1562.09,1594.37
2025-03-03,1521.48,1562.09
2025-03-04,1525.26,1521.48
2025-03-05,1556.17,1525.26
2025-03-06,1615.56,1556.17
2025-03-07,1612.23,1615.56
2025-03-10,1615.87,1612.23
2025-03-11,1599.17,1615.87
2025-03-12,1614.39,1599.17
2025-03-13,1598.46,1614.39
2025-03-17,1594,1598.46
2025-03-18,1634.62,1594
2025-03-19,1654.54,1634.62
2025-03-20,1661.26,1654.54
2025-03-21,1665.29,1661.26
2025-03-24,1668.96,1665.29
2025-03-25,1672.56,1668.96
2025-03-26,1635.16,1672.56
2025-03-27,1665.1,1635.16
2025-03-28,1696.95,1665.1
2025-04-01,1685.34,1696.95
2025-04-02,1692.93,1685.34
2025-04-03,1712.13,1692.93
2025-04-04,1686.68,1712.13
2025-04-07,1680.33,1686.68
2025-04-08,1729.84,1680.33
2025-04-09,1734.03,1729.84
2025-04-11,1755.81,1734.03
2025-04-15,1749.06,1755.81
2025-04-16,1767.13,1749.06
2025-04-17,1773.6,1767.13
2025-04-21,1752.58,1773.6
2025-04-22,1774.93,1752.58
2025-04-23,1775.83,1774.93
2025-04-24,1803.53,1775.83
2025-04-25,1766.89,1803.53
2025-04-28,1763.62,1766.89
2025-04-29,1801.91,1763.62
2025-04-30,1785.07,1801.91
2025-05-02,1742.05,1785.07
2025-05-05,1723.15,1742.05
2025-05-06,1705.64,1723.15
2025-05-07,1678.85,1705.64
2025-05-08,1713.59,1678.85
2025-05-09,1705.61,1713.59
2025-05-12,1787.44,1705.61
2025-05-13,1800.88,1787.44
2025-05-14,1813.28,1800.88
2025-05-15,1807.09,1813.28
2025-05-16,1827.12,1807.09
2025-05-19,1849,1827.12
2025-05-20,1915.65,1849
2025-05-21,1977.39,1915.65
2025-05-22,1965.65,1977.39
2025-05-23,1960.17,1965.65
2025-05-26,1966.35,1960.17
2025-05-27,1960.65,1966.35
2025-05-28,1951.27,1960.65
2025-05-29,1954.59,1951.27
2025-05-30,1945.49,1954.59
2025-06-02,1966.08,1945.49
2025-06-03,1959.35,1966.08
2025-06-04,1915.31,1959.35
2025-06-05,1895.76,1915.31
2025-06-06,1906.39,1895.76
2025-06-09,1963.36,1906.39
2025-06-10,1941.32,1963.36
2025-06-11,1966.25,1941.32
2025-06-12,1954.09,1966.25
2025-06-13,1917.54,1954.09
2025-06-16,1904.91,1917.54
2025-06-17,1942.52,1904.91
2025-06-18,2070.77,1942.52
2025-06-19,2082.47,2070.77
2025-06-20,2026.39,2082.47
2025-06-23,2022.23,2026.39
2025-06-24,2008.25,2022.23
2025-06-25,2024.89,2008.25
2025-06-26,2032.13,2024.89
2025-06-27,2043.79,2032.13
2025-06-30,2028.17,2043.79
2025-07-01,2025.31,2028.17
2025-07-02,2000.76,2025.31
2025-07-03,1989.26,2000.76
2025-07-04,1998.57,1989.26
2025-07-07,1991.74,1998.57
2025-07-08,1980.54,1991.74
2025-07-09,2012.15,1980.54
2025-07-10,2022.48,2012.15
2025-07-11,2030.59,2022.48
2025-07-14,2014.43,2030.59
2025-07-15,2027.17,2014.43
2025-07-16,2013.86,2027.17
2025-07-17,2074.49,2013.86
2025-07-18,2098.27,2074.49
2025-07-21,2094.33,2098.27
2025-07-22,2078.78,2094.33
2025-07-23,2084.4,2078.78
2025-07-24,2133.82,2084.4
2025-07-25,2113.73,2133.82
2025-07-28,2060.85,2113.73
2025-07-29,2015.34,2060.85
2025-07-30,2014.36,2015.34
2025-07-31,2026.17,2014.36
2025-08-01,2069.42,2026.17
2025-08-04,2059.51,2069.42
2025-08-05,1999.81,2059.51
2025-08-06,1970.07,1999.81
2025-08-07,1935.76,1970.07
2025-08-08,1942.55,1935.76
2025-08-11,1938.48,1942.55
2025-08-12,1947.24,1938.48
2025-08-13,1957.29,1947.24
2025-08-14,1943.87,1957.29
2025-08-18,1992.03,1943.87
2025-08-19,2020.37,1992.03
2025-08-20,1993.12,2020.37
2025-08-21,2001.39,1993.12
2025-08-22,1991.15,2001.39
2025-08-25,1983.83,1991.15
2025-08-26,1993.62,1983.83
2025-08-28,2026.39,1993.62
2025-08-29,2020.07,2026.39
2025-09-01,2169.25,2020.07
2025-09-02,2253.32,2169.25
2025-09-03,2295.79,2253.32
2025-09-04,2397.39,2295.79
2025-09-05,2455.3,2397.39
2025-09-08,2443.79,2455.3
2025-09-09,2454.78,2443.79
2025-09-10,2461.98,2454.78
2025-09-11,2510.71,2461.98
2025-09-12,2576.51,2510.71
2025-09-15,2564.93,2576.51
2025-09-16,2603.61,2564.93
2025-09-17,2600.88,2603.61
2025-09-18,521.74,2600.88
2025-09-19,516.74,521.74
2025-09-22,500.81,516.74
2025-09-23,483.36,500.81
2025-09-24,476.12,483.36
2025-09-25,477.79,476.12
2025-09-26,477.16,477.79
2025-09-29,482.2,477.16
2025-09-30,462.97,482.2
2025-10-01,462.63,462.97
2025-10-03,460.24,462.63
2025-10-06,455.08,460.24
2025-10-07,452.85,455.08
2025-10-08,455.16,452.85
2025-10-09,454.28,455.16
2025-10-10,456.15,454.28
2025-10-13,460.56,456.15
2025-10-14,451.31,460.56
2025-10-15,457.06,451.31
2025-10-16,473.26,457.06
2025-10-17,465.81,473.26
2025-10-20,477.94,465.81
2025-10-21,486.48,477.94
2025-10-23,494.67,486.48
2025-10-24,484.35,494.67
2025-10-27,487.17,484.35
2025-10-28,490.04,487.17
2025-10-29,491.85,490.04
2025-10-30,490.17,491.85
2025-10-31,482.16,490.17
2025-11-03,482.94,482.16
2025-11-04,465.31,482.94
2025-11-06,446.9,465.31
2025-11-07,443.94,446.9
2025-11-10,454.97,443.94
2025-11-11,457.64,454.97
2025-11-12,459.17,457.64
2025-11-13,461.91,459.17
2025-11-14,455.04,461.91
2025-11-17,451.22,455.04
2025-11-18,451.14,451.22
2025-11-19,454.01,451.14
2025-11-20,454.84,454.01
2025-11-21,446.16,454.84
2025-11-24,443.89,446.16
2025-11-25,438.25,443.89
2025-11-26,437.89,438.25
2025-11-27,434.82,437.89
2025-11-28,431.4,434.82
2025-12-01,429.61,431.4
2025-12-02,428.25,429.61
2025-12-03,418.35,428.25
2025-12-04,418.86,418.35
2025-12-05,411.2,418.86
2025-12-08,410.24,411.2
2025-12-09,417.27,410.24
2025-12-10,426.49,417.27
2025-12-11,423.14,426.49
2025-12-12,425.58,423.14
2025-12-15,426.19,425.58
2025-12-16,424.65,426.19
2025-12-17,425.93,424.65
2025-12-18,424.14,425.93
2025-12-19,425.66,424.14
2025-12-22,428.38,425.66
2025-12-23,426.04,428.38
2025-12-24,428.76,426.04
2025-12-26,424.43,428.76
2025-12-29,425.24,424.43
2025-12-30,424.52,425.24
2025-12-31,463.52,424.52
2026-01-01,468.29,463.52
2026-01-02,464.3,468.29
2026-01-05,477.47,464.3
2026-01-06,476.64,477.47
2026-01-07,479.56,476.64
2026-01-08,459.75,479.56
2026-01-09,448.23,459.75
2026-01-12,437.67,448.23
2026-01-13,440.86,437.67
2026-01-14,440.46,440.86
2026-01-16,439.28,440.46
2026-01-19,427.81,439.28
2026-01-20,420.57,427.81
2026-01-21,420.95,420.57
2026-01-22,430.83,420.95
2026-01-23,423.25,430.83
2026-01-27,422.74,423.25
2026-01-28,421.22,422.74
2026-01-29,425.35,421.22
2026-01-30,441.46,425.35
2026-02-01,443.56,441.46
2026-02-02,432.75,443.56
2026-02-03,424.25,432.75
2026-02-04,405.6,424.25
2026-02-05,395.04,405.6
2026-02-06,388.84,395.04
2026-02-09,396.84,388.84
2026-02-10,413.87,396.84
2026-02-11,413.96,413.87
2026-02-12,409.95,413.96
2026-02-13,404.06,409.95
2026-02-16,399.97,404.06
2026-02-17,404.65,399.97
2026-02-18,402.84,404.65
2026-02-19,400.33,402.84
2026-02-20,398.53,400.33
2026-02-23,406.23,398.53
2026-02-24,399.36,406.23
2026-02-25,395.33,399.36
2026-02-26,387.47,395.33
2026-02-27,382.98,387.47
2026-03-02,379.42,382.98
2026-03-04,378.12,379.42
2026-03-05,379.69,378.12
2026-03-06,382.8,379.69
2026-03-09,372.48,382.8
2026-03-10,378.45,372.48
2026-03-11,385.52,378.45
2026-03-12,385.63,385.52
2026-03-13,426.56,385.63
2026-03-16,419.29,426.56
2026-03-17,420.21,419.29
2026-03-18,427.72,420.21
2026-03-19,419.1,427.72
2026-03-20,422.91,419.1
2026-03-23,410.61,422.91
2026-03-24,434.79,410.61
2026-03-25,450.69,434.79
2026-03-27,446.57,450.69
2026-03-30,430.19,446.57
2026-04-01,436.8,430.19
2026-04-02,437.73,436.8
2026-04-06,505.54,437.73
2026-04-07,498.9,505.54
2026-04-08,481.82,498.9
2026-04-09,488.25,481.82
2026-04-10,490.65,488.25
2026-04-13,532.64,490.65
2026-04-15,513.78,532.64
2026-04-16,504.39,513.78
