date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,1085,1089.6,1085,1085.2,5536,1084.4,1084.8,1083.6,1084.5,5708,1089.6,1078.6
2025-01-02,1084.5,1088.4,1083.7,1088.4,5402,1100,1101.2,1100,1100.6,17206,1103.9,1081.6
2025-01-03,1100.1,1105,1099,1105,11170,1117.8,1118,1116.8,1117.2,18664,1119.0,1099.0
2025-01-06,1121.8,1122.4,1116.3,1117.6,19718,1091.9,1092.9,1091.9,1092.5,34892,1122.4,1085.0
2025-01-07,1095.1,1100,1090,1096.8,20486,1105.8,1106,1105.6,1105.9,7064,1108.2,1090.0
2025-01-08,1111.5,1111.5,1107.5,1107.9,8470,1110.1,1110.2,1109.7,1110.1,4746,1112.5,1097.3
2025-01-09,1107.7,1110,1102,1105.1,9018,1128.2,1128.9,1127.9,1128.8,8590,1135.9,1102.0
2025-01-10,1136,1136,1128.6,1130.6,15692,1123.4,1123.6,1122.9,1123.6,5570,1139.0,1122.5
2025-01-13,1122.5,1122.5,1116,1121,28780,1118.9,1119.2,1118.8,1118.9,8630,1130.6,1110.8
2025-01-14,1125.6,1128.3,1122.7,1124.4,8174,1108.7,1108.9,1107.2,1107.4,22660,1128.3,1099.6
2025-01-15,1109.5,1110,1101.8,1105.1,10290,1098.9,1100.3,1098.4,1100,11238,1110.0,1086.1
2025-01-16,1102.6,1109.1,1095,1097,20836,1086.3,1086.3,1085.3,1085.6,18636,1109.1,1078.2
2025-01-17,1090.3,1091.7,1086.3,1089.2,6464,1108.6,1108.9,1107.3,1107.8,8216,1113.2,1086.3
2025-01-20,1112,1112.5,1107.1,1108.4,7312,1107,1107,1105.9,1106,7140,1112.5,1101.2
2025-01-21,1112.5,1114.5,1109,1110,2534,1098.5,1099.3,1098.2,1098.6,7588,1120.0,1095.8
2025-01-22,1098.2,1104.9,1098.2,1101.6,22742,1104,1104,1103.9,1104,3198,1106.5,1097.1
2025-01-23,1097.1,1103.9,1082.5,1089.4,24096,1097.2,1097.8,1096.7,1097.8,21200,1104.8,1082.5
2025-01-24,1101,1103.4,1095.5,1097,5516,1103,1103.5,1102.8,1103.2,17602,1111.4,1095.0
2025-01-27,1091,1103.5,1091,1103.5,11722,1088.2,1088.2,1087,1087.3,5670,1116.0,1084.3
2025-01-28,1087.4,1090.9,1083,1083.8,7824,1078.6,1079,1078,1079,3980,1090.9,1071.3
2025-01-29,1078.2,1083.8,1076.3,1078.8,4734,1090.5,1092,1090.5,1090.6,8320,1092.4,1065.6
2025-01-30,1094.5,1099.5,1090.5,1090.5,10574,1110.6,1110.6,1108.4,1109.8,15108,1111.1,1090.4
2025-01-31,1108.7,1114,1104.8,1110,25986,1155,1155.9,1155,1155,68608,1193.5,1104.8
2025-02-01,1156.5,1159.5,1148.3,1148.3,15360,1163.2,1163.4,1162,1162,7382,1187.0,1128.6
2025-02-03,1163.6,1171.2,1156.9,1166.5,34920,1157.6,1157.8,1157.4,1157.7,8710,1187.0,1155.8
2025-02-04,1161.2,1161.4,1150,1155.4,11096,1149.8,1150.5,1149.1,1150.2,8578,1161.4,1141.8
